tar,exp,run,E,rho,mae,rmse,Jacobian
Dn,1,31,3,0.9298265164290687,0.26181014269110436,0.36661403449575736,0.8581409063133044
Pa,1,32,3,0.935748472422222,0.25536493996683113,0.3510081018653331,-0.39407347323163544
Dn,1,32,2,0.9158540803311099,0.27948490924627795,0.39950140828928,0.8643184498896722
Pa,1,33,6,0.9253382481429688,0.29042794945701833,0.3852539488448351,-0.11883263541961159
Dn,1,33,3,0.9038825600450257,0.2926422261633358,0.4252592453888755,0.83273255076922
Pa,1,34,2,0.9197554221052001,0.28647681054730845,0.38887594969085815,-0.46856379489616434
Dn,1,34,3,0.916398054993855,0.29028078502912663,0.3992856110356973,0.522036207856677
Pa,1,35,2,0.9249477145532526,0.2608159297415176,0.37618152926445736,-0.2679334234184959
Dn,1,35,2,0.9249545958648435,0.26072457475012506,0.3761789222548743,0.8379165380771926
Pa,1,36,4,0.9282779263037122,0.2631660382202399,0.3727159807125516,-0.34381883946710007
Dn,1,36,3,0.92226046607665,0.2666046867346196,0.38429120795426797,0.874420762140958
Pa,1,37,2,0.9173972013705421,0.2845723407757471,0.39390588590165465,-0.2925252596947274
Dn,1,37,2,0.9173979599141213,0.2845860799431679,0.39390451578048585,0.8551704753008144
Pa,1,38,5,0.9349178247015382,0.2602170884784438,0.3588376179977795,-0.29337003676462076
Dn,1,38,2,0.9250098142568527,0.2681746237370998,0.37602494221840993,0.8018658287374896
Pa,1,39,2,0.9213135211104835,0.2736081113707849,0.3848896314002332,-0.22249209112297347
Dn,1,39,2,0.9213131918868115,0.27361107065232815,0.38488930316992803,0.8422139921876897
Pa,1,40,3,0.9436236630231724,0.25322066530690146,0.32941737529310833,-0.36039520388020807
Dn,1,40,3,0.9218236076838682,0.28157054262151365,0.38513327003882114,0.6536671358918957
Pa,1,41,2,0.9289041592789692,0.2617255364672841,0.3668101234763956,-0.261631617815188
Dn,1,41,3,0.9260809979986908,0.2665713460321751,0.3751134545512156,0.8945696990993295
Pa,1,42,3,0.9437388494579328,0.25236696716535995,0.3290447957672036,-0.37744090378449807
Dn,1,42,3,0.9191077543036131,0.28648296145368685,0.3914375716810185,0.9006631630619245
Pa,1,43,2,0.9379217422199765,0.2831207587907391,0.34868760485008293,-0.36848687286090975
Dn,1,43,3,0.9181011020716855,0.28124162548009546,0.393953096706562,0.8623854029641213
Pa,1,44,2,0.9235029962410407,0.2563278561710294,0.37991804892790476,-0.27851282936451055
Dn,1,44,3,0.9199586734218802,0.2700850871475618,0.38950819769762735,0.8673479423746874
Pa,1,45,2,0.9296108671970723,0.2544146713593262,0.3663082571805281,-0.37900524013503906
Dn,1,45,3,0.9240158608347697,0.26258664702326806,0.37959970969751927,0.8644909223826105
Pa,1,46,2,0.9153965382936695,0.27932940876293727,0.39876976316798524,-0.3196257244894805
